Club,Year,Points,GD
Arsenal,92/93,56,2
Liverpool,92/93,59,7
Manchester United,92/93,84,36
Tottenham Hotspur,92/93,59,-6
Chelsea,92/93,56,-3
Manchester City,92/93,57,5
Arsenal,93/94,71,25
Liverpool,93/94,60,4
Manchester United,93/94,92,42
Tottenham Hotspur,93/94,45,-5
Chelsea,93/94,51,-4
Manchester City,93/94,45,-11
Arsenal,94/95,51,3
Liverpool,94/95,74,28
Manchester United,94/95,88,49
Tottenham Hotspur,94/95,62,8
Chelsea,94/95,54,-5
Manchester City,94/95,49,-11
Arsenal,95/96,63,17
Liverpool,95/96,71,36
Manchester United,95/96,82,38
Tottenham Hotspur,95/96,61,12
Chelsea,95/96,50,2
Manchester City,95/96,38,-25
Arsenal,96/97,68,30
Liverpool,96/97,68,25
Manchester United,96/97,75,32
Tottenham Hotspur,96/97,46,-7
Chelsea,96/97,59,3
Manchester City,96/97,0,0
Arsenal,97/98,78,35
Liverpool,97/98,65,26
Manchester United,97/98,77,47
Tottenham Hotspur,97/98,44,-12
Chelsea,97/98,63,28
Manchester City,97/98,0,0
Arsenal,98/99,78,42
Liverpool,98/99,54,19
Manchester United,98/99,79,43
Tottenham Hotspur,98/99,47,-3
Chelsea,98/99,75,27
Manchester City,98/99,0,0
Arsenal,99/00,73,30
Liverpool,99/00,67,21
Manchester United,99/00,91,52
Tottenham Hotspur,99/00,53,8
Chelsea,99/00,65,19
Manchester City,99/00,0,0
Arsenal,00/01,70,25
Liverpool,00/01,69,32
Manchester United,00/01,80,48
Tottenham Hotspur,00/01,49,-7
Chelsea,00/01,61,23
Manchester City,00/01,34,-24
Arsenal,01/02,87,43
Liverpool,01/02,80,37
Manchester United,01/02,77,42
Tottenham Hotspur,01/02,50,-4
Chelsea,01/02,64,28
Manchester City,01/02,0,0
Arsenal,02/03,78,43
Liverpool,02/03,64,20
Manchester United,02/03,83,40
Tottenham Hotspur,02/03,50,-11
Chelsea,02/03,67,30
Manchester City,02/03,51,-7
Arsenal,03/04,90,47
Liverpool,03/04,60,18
Manchester United,03/04,75,29
Tottenham Hotspur,03/04,45,-10
Chelsea,03/04,79,37
Manchester City,03/04,41,1
Arsenal,04/05,83,51
Liverpool,04/05,58,11
Manchester United,04/05,77,32
Tottenham Hotspur,04/05,52,6
Chelsea,04/05,95,57
Manchester City,04/05,52,8
Arsenal,05/06,67,37
Liverpool,05/06,82,32
Manchester United,05/06,83,38
Tottenham Hotspur,05/06,65,15
Chelsea,05/06,91,50
Manchester City,05/06,43,-5
Arsenal,06/07,68,28
Liverpool,06/07,68,30
Manchester United,06/07,89,56
Tottenham Hotspur,06/07,60,3
Chelsea,06/07,83,40
Manchester City,06/07,42,-15
Arsenal,07/08,83,43
Liverpool,07/08,76,39
Manchester United,07/08,87,58
Tottenham Hotspur,07/08,46,5
Chelsea,07/08,85,39
Manchester City,07/08,55,-8
Arsenal,08/09,72,31
Liverpool,08/09,86,50
Manchester United,08/09,90,44
Tottenham Hotspur,08/09,51,0
Chelsea,08/09,83,44
Manchester City,08/09,50,8
Arsenal,09/10,75,42
Liverpool,09/10,63,26
Manchester United,09/10,85,58
Tottenham Hotspur,09/10,70,26
Chelsea,09/10,86,71
Manchester City,09/10,67,28
Arsenal,10/11,68,29
Liverpool,10/11,58,15
Manchester United,10/11,80,41
Tottenham Hotspur,10/11,62,9
Chelsea,10/11,71,36
Manchester City,10/11,71,27
Arsenal,11/12,70,25
Liverpool,11/12,52,7
Manchester United,11/12,89,56
Tottenham Hotspur,11/12,69,25
Chelsea,11/12,64,19
Manchester City,11/12,89,64
Arsenal,12/13,73,35
Liverpool,12/13,61,28
Manchester United,12/13,89,43
Tottenham Hotspur,12/13,72,20
Chelsea,12/13,75,36
Manchester City,12/13,78,32
Arsenal,13/14,79,27
Liverpool,13/14,84,51
Manchester United,13/14,64,21
Tottenham Hotspur,13/14,69,4
Chelsea,13/14,82,44
Manchester City,13/14,86,65
Arsenal,14/15,75,35
Liverpool,14/15,62,4
Manchester United,14/15,70,25
Tottenham Hotspur,14/15,64,5
Chelsea,14/15,87,41
Manchester City,14/15,79,45
Arsenal,15/16,71,29
Liverpool,15/16,60,13
Manchester United,15/16,66,14
Tottenham Hotspur,15/16,70,34
Chelsea,15/16,50,6
Manchester City,15/16,66,30
Arsenal,16/17,75,33
Liverpool,16/17,76,36
Manchester United,16/17,69,25
Tottenham Hotspur,16/17,86,60
Chelsea,16/17,93,52
Manchester City,16/17,78,41
Arsenal,17/18,63,23
Liverpool,17/18,75,46
Manchester United,17/18,81,40
Tottenham Hotspur,17/18,77,38
Chelsea,17/18,70,24
Manchester City,17/18,100,79
Arsenal,18/19,70,22
Liverpool,18/19,97,67
Manchester United,18/19,66,11
Tottenham Hotspur,18/19,71,28
Chelsea,18/19,72,24
Manchester City,18/19,98,72
Arsenal,19/20,56,8
Liverpool,19/20,99,52
Manchester United,19/20,66,30
Tottenham Hotspur,19/20,59,14
Chelsea,19/20,66,15
Manchester City,19/20,81,67
Arsenal,20/21,61,16
Liverpool,20/21,69,26
Manchester United,20/21,74,29
Tottenham Hotspur,20/21,62,23
Chelsea,20/21,67,22
Manchester City,20/21,86,51
Arsenal,21/22,69,13
Liverpool,21/22,92,68
Manchester United,21/22,58,0
Tottenham Hotspur,21/22,71,29
Chelsea,21/22,74,43
Manchester City,21/22,93,73
